 Name                     	  bandwidth	frequency 	mode
412	8330	128275000	2
413	8330	128300000	2
414	8330	128325000	2
415	8330	128350000	2
416	8330	128375000	2
417	8330	128400000	2
418	8330	128425000	2
419	8330	128450000	2
420	8330	128475000	2
421	8330	128500000	2
422	8330	128525000	2
423	8330	128550000	2
424	8330	128575000	2
425	8330	128600000	2
426	8330	128625000	2
427	8330	128650000	2
428	8330	128675000	2
429	8330	128700000	2
430	8330	128725000	2
431	8330	128750000	2
432	8330	128775000	2
433	8330	128800000	2
434	8330	128825000	2
435	8330	128850000	2
436	8330	128875000	2
437	8330	128900000	2
438	8330	128925000	2
439	8330	128950000	2
440	8330	128975000	2
441	8330	129000000	2
442	8330	129025000	2
443	8330	129050000	2
444	8330	129075000	2
445	8330	129100000	2
446	8330	129125000	2
 447 AAN GND              	8330	129150000	2
448	8330	129175000	2
449	8330	129200000	2
450	8330	129225000	2
451	8330	129250000	2
452	8330	129275000	2
453	8330	129300000	2
454	8330	129325000	2
455	8330	129350000	2
456	8330	129375000	2
 457 FJR APP              	8330	129400000	2
458	8330	129425000	2
459	8330	129450000	2
460	8330	129475000	2
461	8330	129500000	2
462	8330	129525000	2
463	8330	129550000	2
464	8330	129575000	2
465	8330	129600000	2
466	8330	129625000	2
467	8330	129650000	2
468	8330	129675000	2
469	8330	129700000	2
470	8330	129725000	2
471	8330	129750000	2
472	8330	129775000	2
473	8330	129800000	2
474	8330	129825000	2
475	8330	129850000	2
476	8330	129875000	2
477	8330	129900000	2
478	8330	129925000	2
479	8330	129950000	2
480	8330	129975000	2
481	8330	130000000	2
482	8330	130025000	2
483	8330	130050000	2
484	8330	130075000	2
485	8330	130100000	2
486	8330	130125000	2
487	8330	130150000	2
488	8330	130175000	2
489	8330	130200000	2
490	8330	130225000	2
491	8330	130250000	2
492	8330	130275000	2
493	8330	130300000	2
494	8330	130325000	2
495	8330	130350000	2
496	8330	130375000	2
497	8330	130400000	2
498	8330	130425000	2
499	8330	130450000	2
500	8330	130475000	2
501	8330	130500000	2
502	8330	130525000	2
503	8330	130550000	2
504	8330	130575000	2
505	8330	130600000	2
506	8330	130625000	2
507	8330	130650000	2
508	8330	130675000	2
509	8330	130700000	2
510	8330	130725000	2
511	8330	130750000	2
512	8330	130775000	2
513	8330	130800000	2
514	8330	130825000	2
515	8330	130850000	2
516	8330	130875000	2
517	8330	130900000	2
518	8330	130925000	2
519	8330	130950000	2
520	8330	130975000	2
521	8330	131000000	2
522	8330	131025000	2
523	8330	131050000	2
524	8330	131075000	2
525	8330	131100000	2
526	8330	131125000	2
527	8330	131150000	2
528	8330	131175000	2
529	8330	131200000	2
530	8330	131225000	2
531	8330	131250000	2
532	8330	131275000	2
533	8330	131300000	2
534	8330	131325000	2
535	8330	131350000	2
536	8330	131375000	2
537	8330	131400000	2
538	8330	131425000	2
539	8330	131450000	2
 540 ACARS                	8330	131475000	2
541	8330	131500000	2
542	8330	131525000	2
 543 ACARS                	8330	131550000	2
544	8330	131575000	2
545	8330	131600000	2
546	8330	131625000	2
547	8330	131650000	2
548	8330	131675000	2
 549 DXB ATIS DEP         	8330	131700000	2
 550 ACARS                	8330	131725000	2
551	8330	131750000	2
552	8330	131775000	2
553	8330	131800000	2
 554 ACARS                	8330	131825000	2
555	8330	131850000	2
556	8330	131875000	2
557	8330	131900000	2
558	8330	131925000	2
559	8330	131950000	2
560	8330	131975000	2
561	8330	132000000	2
562	8330	132025000	2
563	8330	132050000	2
564	8330	132075000	2
565	8330	132100000	2
566	8330	132125000	2
567	8330	132150000	2
568	8330	132175000	2
569	8330	132200000	2
570	8330	132225000	2
571	8330	132250000	2
572	8330	132275000	2
573	8330	132300000	2
574	8330	132325000	2
575	8330	132350000	2
576	8330	132375000	2
577	8330	132400000	2
578	8330	132425000	2
579	8330	132450000	2
580	8330	132475000	2
581	8330	132500000	2
582	8330	132525000	2
583	8330	132550000	2
584	8330	132575000	2
585	8330	132600000	2
586	8330	132625000	2
587	8330	132650000	2
588	8330	132675000	2
589	8330	132700000	2
590	8330	132725000	2
591	8330	132750000	2
592	8330	132775000	2
593	8330	132800000	2
594	8330	132825000	2
595	8330	132850000	2
596	8330	132875000	2
597	8330	132900000	2
598	8330	132925000	2
599	8330	132950000	2
600	8330	132975000	2
601	8330	133000000	2
602	8330	133025000	2
603	8330	133050000	2
604	8330	133075000	2
605	8330	133100000	2
606	8330	133125000	2
607	8330	133150000	2
608	8330	133175000	2
609	8330	133200000	2
610	8330	133225000	2
611	8330	133250000	2
612	8330	133275000	2
613	8330	133300000	2
614	8330	133325000	2
615	8330	133350000	2
616	8330	133375000	2
617	8330	133400000	2
618	8330	133425000	2
619	8330	133450000	2
620	8330	133475000	2
621	8330	133500000	2
622	8330	133525000	2
623	8330	133550000	2
624	8330	133575000	2
625	8330	133600000	2
626	8330	133625000	2
627	8330	133650000	2
628	8330	133675000	2
629	8330	133700000	2
630	8330	133725000	2
631	8330	133750000	2
632	8330	133775000	2
633	8330	133800000	2
634	8330	133825000	2
635	8330	133850000	2
636	8330	133875000	2
637	8330	133900000	2
638	8330	133925000	2
639	8330	133950000	2
640	8330	133975000	2
641	8330	134000000	2
642	8330	134025000	2
643	8330	134050000	2
644	8330	134075000	2
645	8330	134100000	2
646	8330	134125000	2
647	8330	134150000	2
648	8330	134175000	2
649	8330	134200000	2
650	8330	134225000	2
651	8330	134250000	2
652	8330	134275000	2
653	8330	134300000	2
654	8330	134325000	2
655	8330	134350000	2
656	8330	134375000	2
657	8330	134400000	2
658	8330	134425000	2
659	8330	134450000	2
660	8330	134475000	2
661	8330	134500000	2
662	8330	134525000	2
663	8330	134550000	2
664	8330	134575000	2
665	8330	134600000	2
666	8330	134625000	2
667	8330	134650000	2
668	8330	134675000	2
669	8330	134700000	2
670	8330	134725000	2
671	8330	134750000	2
672	8330	134775000	2
673	8330	134800000	2
674	8330	134825000	2
675	8330	134850000	2
676	8330	134875000	2
677	8330	134900000	2
678	8330	134925000	2
679	8330	134950000	2
680	8330	134975000	2
681	8330	135000000	2
682	8330	135025000	2
683	8330	135050000	2
684	8330	135075000	2
685	8330	135100000	2
686	8330	135125000	2
687	8330	135150000	2
688	8330	135175000	2
689	8330	135200000	2
690	8330	135225000	2
691	8330	135250000	2
692	8330	135275000	2
693	8330	135300000	2
694	8330	135325000	2
695	8330	135350000	2
696	8330	135375000	2
697	8330	135400000	2
698	8330	135425000	2
699	8330	135450000	2
700	8330	135475000	2
701	8330	135500000	2
702	8330	135525000	2
703	8330	135550000	2
704	8330	135575000	2
705	8330	135600000	2
706	8330	135625000	2
707	8330	135650000	2
708	8330	135675000	2
709	8330	135700000	2
710	8330	135725000	2
711	8330	135750000	2
712	8330	135775000	2
713	8330	135800000	2
714	8330	135825000	2
715	8330	135850000	2
716	8330	135875000	2
717	8330	135900000	2
718	8330	135925000	2
719	8330	135950000	2
720	8330	135975000	2
721	8330	136000000	2
722	8330	136025000	2
723	8330	136050000	2
724	8330	136075000	2
725	8330	136100000	2
726	8330	136125000	2
727	8330	136150000	2
728	8330	136175000	2
729	8330	136200000	2
730	8330	136225000	2
731	8330	136250000	2
732	8330	136275000	2
733	8330	136300000	2
734	8330	136325000	2
735	8330	136350000	2
736	8330	136375000	2
737	8330	136400000	2
738	8330	136425000	2
739	8330	136450000	2
740	8330	136475000	2
741	8330	136500000	2
742	8330	136525000	2
743	8330	136550000	2
744	8330	136575000	2
745	8330	136600000	2
746	8330	136625000	2
747	8330	136650000	2
748	8330	136675000	2
749	8330	136700000	2
750	8330	136725000	2
751	8330	136750000	2
752	8330	136775000	2
753	8330	136800000	2
754	8330	136825000	2
755	8330	136850000	2
756	8330	136875000	2
757	8330	136900000	2
758	8330	136925000	2
759	8330	136950000	2
760	8330	136975000	2

