Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
4213;"CW";"WLO USA";"11PM";;"T1";;;;;;
4215;"CW";"XSG CHN";"12AM";;"T1";;;;;;
4218.5;"CW";"XSG CHN";"12AM";;"T1";;;;;;
4225;"USB";"STANAG";"1AM";;"T1";;;;;;
4231.5;"USB";"FSK";"8PM";;"T1";;;;;;
4231.5;"USB";"slot machine JPN";"1AM";;"T1";;;;;;
4243;"CWN";"?CW";"12AM";;"T1";;;;;;
4248.7;"USB";"MS-188-110 AUS";"24/7";;"T1";;;;;;
4267;"USB";"CIS-12 RUS";"12AM";;"T1";;;;;;
4271.3;"USB";"STANAG 4285";"930PM";;"T1";;;;;;
4281;"USB";"STANAG";"12AM";;"T1";;;;;;
4284.5;"USB";"STANAG";"4AM";;"T1";;;;;;
4287.5;"USB";"FSK";"10PM";;"T1";;;;;;
4291;"USB";"slot machine JPN";"12AM";;"T1";;;;;;
4294.5;"USB";"8-chan FSK JPN";"1AM, 6AM";;"T1";;;;;;
4297;"USB";"FAX NOJ USA";"12AM";;"T1";;;;;;
4302;"USB";"STANAG 4529";"4AM";;"T1";;;;;;
4305.35;"CW";"FSK";"4AM";;"T1";;;;;;
4317.5;"USB";"STANAG";"very weak, 1AM";;"T1";;;;;;
4325.9;"CWN";"R marker";"RUS, watchlist";;"T1";;;;;;
4345;"USB";"FAX NMC";"12AM";;"T1";;;;;;
4397;"CW";"CW";"12AM";;"T1";;;;;;
4460;"USB";"CODAR";"weak, 1AM";;"T1";;;;;;
4465;"USB";"FSK";"6AM";;"T1";;;;;;
4480;"CW";"FSK";"6AM";;"T1";;;;;;
4483;"USB";"ship-to-ship comm";"4PM";;"T1";;;;;;
4498.6;"USB";"CIS-12 RUS";"idling carriers, 12AM";;"T1";;;;;;
4532;"CW";"RIS9 CW";"12AM";;"T1";;;;;;
4549;"USB";"FSK";"6AM";;"T1";;;;;;
4558;"CWN";"marker beacons";"watchlist";;"T1";;;;;;
4588.85;"USB";"STANAG 4285";"930PM";;"T1";;;;;;
4602;"CW";"FSK";"7AM";;"T1";;;;;;
4614;"CW";"FSK";"7AM";;"T1";;;;;;
4625;"AMN";"The Buzzer";"very weak, 6AM";;"T1";;;;;;
4626;"USB";"FSK";"7PM";;"T1";;;;;;
4666;"USB";"MWARA CWP";"Major World Air Route Areas, Central West Pacific, 1AM";;"T1";;;;;;
4672;"USB";"HFDL";"SF USA GS-01, 1AM";;"T1";;;;;;
4678.4;"CWN";"CW";"7PM";;"T1";;;;;;
4700.3;"USB";"STANAG";"11PM";;"T1";;;;;;
4725;"USB";"FSK";"7AM";;"T1";;;;;;
4775;"USB";"CODAR";"weak, 1AM";;"T1";;;;;;
4810.5;"USB";"STANAG";"9PM";;"T1";;;;;;
4845;"USB";"LINK-11";"7PM";;"T1";;;;;;
4855;"CW";"CW";"11PM";;"T1";;;;;;
4860;"USB";"OTHR";"50kHz wide, slow, 2AM";;"T1";;;;;;
4866.9;"CW";"CW";"1AM";;"T1";;;;;;
4903.5;"USB";"FSK";"1AM";;"T1";;;;;;
