Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
17215;"USB";"FSK";"9PM";;"T1";;;;;;
17217.4;"USB";"STANAG";"9PM";;"T1";;;;;;
17229;"USB";"STANAG";"5PM";;"T1";;;;;;
17238;"USB";"STANAG";"9PM";;"T1";;;;;;
17430;"USB";"9VF FAX";"Kyodo news, Singapore, 11PM";;"T1";;;;;;
17750;"AM";"R. Australia";;;"T1";;;;;;
17795;"AM";"R. Australia";;;"T1";;;;;;
17840;"AM";"R. Australia";;;"T1";;;;;;
17860;"AM";"R. Australia";;;"T1";;;;;;
17904;"USB";"MWARA";"SF, USA, 5PM";;"T1";;;;;;
17916;"USB";"HFDL";"5PM";;"T1";;;;;;
17919;"USB";"HFDL";"9PM";;"T1";;;;;;
18100.15;"USB";"PSK31";;;"T2";;;;;;
18104.6;"USB";"WSPR";;;"T2";;;;;;
18110;"CW";"IBP";"NCDXF/IARU international beacon project";;;;;;;;
18365.301;"USB";"STANAG";"3PM";;"T1";;;;;;
18598.699;"USB";"STANAG 4285 AUS";"6PM";;"T1";;;;;;
19000;"AM";"R. Australia";;;"T1";;;;;;
19739.5;"USB";"STANAG";"4PM";;"T1";;;;;;
19743;"USB";"STANAG";"4PM";;"T1";;;;;;
20000;"AM";"WWV";"time signal";;"T1";;;;;;
20048.4;"CWN";"marker beacons";"watchlist";;"T1";;;;;;
20468;"USB";"FAX VMC AUS";"11AM";;"T1";;;;;;
21076;"USB";"JT65";;;"T2";;;;;;
21094.6;"USB";"WSPR";;;"T2";;;;;;
21150;"CW";"IBP";"NCDXF/IARU international beacon project";;;;;;;;
21928;"USB";"HFDL";"3PM";;"T1";;;;;;
22251;"CW";"CW";"3PM";;"T1";;;;;;
22375;"USB";"FSK NRV";"USCG Guam, 3PM";;"T1";;;;;;
22461.4;"USB";"FUJ New Caledonia";"STANAG 4285, 2PM";;"T1";;;;;;
22525;"USB";"FAX NMC";"3PM";;"T1";;;;;;
24930;"CW";"IBP";"NCDXF/IARU international beacon project";;;;;;;;
28200;"CW";"IBP";"NCDXF/IARU international beacon project";;;;;;;;
